160421_NB501015_0091_AHV5VYBGXX,PLDI-005,2016-04-21,Panos,0,0
160421_NS500577_0171_AH5GVKBGXY,TANGO-334,2016-04-21,Shilatifard,0,0
160422_NB501015_0092_AH5H5VBGXY,TANGO-335,2016-04-22,Shilatifard,1,0
160422_NB501015_0092_AH5H5VBGXY,TANGO-348,2016-04-22,Shilatifard,1,0
160422_NS500577_0172_AH5LGWBGXY,TANGO-347,2016-04-22,Shilatifard,0,0
160425_NB501015_0093_AH5LHHBGXY,TANGO-332,2016-04-25,Shilatifard,1,0
160425_NB501015_0093_AH5LHHBGXY,TANGO-337,2016-04-25,Shilatifard,1,0
160425_NS500577_0173_AH5LKVBGXY,TANGO-331,2016-04-25,Shilatifard,1,0
160425_NS500577_0173_AH5LKVBGXY,TANGO-333,2016-04-25,Shilatifard,1,0
160425_NS500577_0173_AH5LKVBGXY,TANGO-336,2016-04-25,Shilatifard,1,0
160426_NB501015_0094_AH5HJ2BGXY,TANGO-321,2016-04-26,Shilatifard,0,0
160426_NS500577_0174_AH5KTGBGXY,TANGO-356,2016-04-26,Shilatifard,1,0
160426_NS500577_0174_AH5KTGBGXY,TANGO-358,2016-04-26,Shilatifard,1,0
160427_NB501015_0095_AH5HKVBGXY,TANGO-330,2016-04-27,Shilatifard,0,0
160427_NS500577_0175_AH5HGMBGXY,TANGO-341,2016-04-27,Shilatifard,1,0
160427_NS500577_0175_AH5HGMBGXY,TANGO-357,2016-04-27,Shilatifard,1,0
160428_NS500577_0176_AHV32JBGXX,PLDI-006,2016-04-28,Panos,0,0
160429_NB501015_0096_AH5HGLBGXY,TANGO-359,2016-04-29,Shilatifard,0,0
160429_NS500577_0177_AH5HHGBGXY,TANGO-362,2016-04-29,Shilatifard,0,0
160503_NS500577_0178_AH5KTTBGXY,TANGO-367,2016-05-03,Shilatifard,0,0
160504_NB501015_0097_AH5KYNBGXY,TANGO-349,2016-05-04,Shilatifard,1,0
160504_NB501015_0097_AH5KYNBGXY,TANGO-366,2016-05-04,Shilatifard,1,0
160505_NS500577_0179_AHV5VVBGXX,PLDI-007,2016-05-05,Panos,0,0
160506_NB501015_0098_AHCF2MAFXX,TANGO-390,2016-05-06,Behdad,0,0
160506_NS500577_0180_AH5LYKBGXY,TANGO-342,2016-05-06,Shilatifard,0,0
160509_NB501015_0099_AH72YTBGXY,TANGO-206,2016-05-09,Shilatifard,1,0
160509_NB501015_0099_AH72YTBGXY,TANGO-368,2016-05-09,Shilatifard,1,0
160509_NS500577_0181_AH5KYVBGXY,TANGO-343,2016-05-09,Shilatifard,0,0
160510_NB501015_0100_AH3KMKBGXY,TANGO-340,2016-05-10,Shilatifard,0,0
160510_NS500577_0182_AH72TLBGXY,TANGO-371,2016-05-10,Shilatifard,0,0
160511_NB501015_0101_AH72H7BGXY,TANGO-361,2016-05-11,Shilatifard,0,0
160511_NS500577_0183_AHV2LVBGXX,PLDI-008,2016-05-11,Panos,0,0
160512_NB501015_0102_AH3JCCBGXY,TANGO-345,2016-05-12,Shilatifard,0,0
160512_NS500577_0184_AH3KMMBGXY,TANGO-346,2016-05-12,Shilatifard,1,0
160512_NS500577_0184_AH3KMMBGXY,TANGO-350,2016-05-12,Shilatifard,1,0
160513_NB501015_0103_AH3HKNBGXY,TANGO-376,2016-05-13,Shilatifard,0,0
160513_NS500577_0185_AH3KLHBGXY,TANGO-377,2016-05-13,Shilatifard,0,0
160516_NB501015_0104_AH3KGCBGXY,TANGO-364,2016-05-16,Shilatifard,0,0
